REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2017,2016A000212,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,37587.0,False,False,True,False,False,1
2017,2016A000212,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,31320.0,False,False,True,False,False,0
2017,2016A000212,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,34985.0,False,False,True,False,False,1
2017,2016A000212,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,30411.0,False,False,True,False,False,0
2017,2016A000212,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,44683.0,False,False,True,False,False,1
2017,2016A000212,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,35886.0,False,False,True,False,False,0
2017,2016A000212,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51007.0,False,False,True,False,False,1
2017,2016A000212,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45858.0,False,False,True,False,False,0
2018,2016A000212,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,48733.0,False,False,True,False,False,1
2018,2016A000212,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,44633.0,False,False,True,False,False,0
2018,2016A000212,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,38373.0,False,False,True,False,False,1
2018,2016A000212,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,32090.0,False,False,True,False,False,0
2018,2016A000212,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,35939.0,False,False,True,False,False,1
2018,2016A000212,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,31046.0,False,False,True,False,False,0
2018,2016A000212,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,45036.0,False,False,True,False,False,1
2018,2016A000212,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,37328.0,False,False,True,False,False,0
2018,2016A000212,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,53440.0,False,False,True,False,False,1
2018,2016A000212,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,48810.0,False,False,True,False,False,0
2013,2016A000235,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,52640.0,False,False,False,True,False,1
2013,2016A000235,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,44500.0,False,False,False,True,False,0
2013,2016A000235,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,45927.0,False,False,False,True,False,1
2013,2016A000235,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,35099.0,False,False,False,True,False,0
2013,2016A000235,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,43495.0,False,False,False,True,False,1
2013,2016A000235,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,34009.0,False,False,False,True,False,0
2013,2016A000235,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,50947.0,False,False,False,True,False,1
2013,2016A000235,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,39201.0,False,False,False,True,False,0
2013,2016A000235,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,57811.0,False,False,False,True,False,1
2013,2016A000235,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,49807.0,False,False,False,True,False,0
2014,2016A000235,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,53780.0,False,False,False,True,False,1
2014,2016A000235,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45685.0,False,False,False,True,False,0
2014,2016A000235,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,46990.0,False,False,False,True,False,1
2014,2016A000235,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,36012.0,False,False,False,True,False,0
2014,2016A000235,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,43964.0,False,False,False,True,False,1
2014,2016A000235,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,34836.0,False,False,False,True,False,0
2014,2016A000235,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,53287.0,False,False,False,True,False,1
2014,2016A000235,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,40397.0,False,False,False,True,False,0
2014,2016A000235,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,58943.0,False,False,False,True,False,1
2014,2016A000235,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,51238.0,False,False,False,True,False,0
